Pza. de España,Dióxido de Azufre,2016.0,Monóxido de Carbono,105.0,Monóxido de Nitrógeno,6373.0,Dióxido de Nitrógeno,10392.0,Óxidos de Nitrógeno ,20147.0,Partículas < 2.5 µm,0,Partículas < 10 µm,0,Ozono,0,Tolueno,0,Benceno,0,Etilbenceno,0,Hidrocarburos totales,0,Metano,0,Hidrocarburos no metánicos,0
Escuelas Aguirre,Dióxido de Azufre,2098.0,Monóxido de Carbono,46.7,Monóxido de Nitrógeno,4819.0,Dióxido de Nitrógeno,12109.0,Óxidos de Nitrógeno ,19486.0,Partículas < 2.5 µm,2595.0,Partículas < 10 µm,5230.0,Ozono,12049.0,Tolueno,632.9,Benceno,146.8,Etilbenceno,113.5,Hidrocarburos totales,375.07,Metano,352.21,Hidrocarburos no metánicos,23.12
Av. Ramón y Cajal,Dióxido de Azufre,0,Monóxido de Carbono,0,Monóxido de Nitrógeno,3417.0,Dióxido de Nitrógeno,9288.0,Óxidos de Nitrógeno ,14549.0,Partículas < 2.5 µm,0,Partículas < 10 µm,0,Ozono,0,Tolueno,396.4,Benceno,92.0,Etilbenceno,69.3,Hidrocarburos totales,0,Metano,0,Hidrocarburos no metánicos,0
Arturo Soria,Dióxido de Azufre,0,Monóxido de Carbono,71.0,Monóxido de Nitrógeno,2647.0,Dióxido de Nitrógeno,8131.0,Óxidos de Nitrógeno ,12195.0,Partículas < 2.5 µm,0,Partículas < 10 µm,0,Ozono,9343.0,Tolueno,0,Benceno,0,Etilbenceno,0,Hidrocarburos totales,0,Metano,0,Hidrocarburos no metánicos,0
Villaverde Alto,Dióxido de Azufre,2017.0,Monóxido de Carbono,0,Monóxido de Nitrógeno,7030.0,Dióxido de Nitrógeno,9433.0,Óxidos de Nitrógeno ,20215.0,Partículas < 2.5 µm,0,Partículas < 10 µm,0,Ozono,13818.0,Tolueno,0,Benceno,0,Etilbenceno,0,Hidrocarburos totales,0,Metano,0,Hidrocarburos no metánicos,0
C/ Farolillo,Dióxido de Azufre,2811.0,Monóxido de Carbono,116.8,Monóxido de Nitrógeno,3370.0,Dióxido de Nitrógeno,7724.0,Óxidos de Nitrógeno ,12894.0,Partículas < 2.5 µm,0,Partículas < 10 µm,3727.0,Ozono,15462.0,Tolueno,394.8,Benceno,83.3,Etilbenceno,68.1,Hidrocarburos totales,0,Metano,0,Hidrocarburos no metánicos,0
Casa de Campo,Dióxido de Azufre,1103.0,Monóxido de Carbono,51.0,Monóxido de Nitrógeno,1427.0,Dióxido de Nitrógeno,4843.0,Óxidos de Nitrógeno ,7030.0,Partículas < 2.5 µm,2331.0,Partículas < 10 µm,3252.0,Ozono,16209.0,Tolueno,278.5,Benceno,78.9,Etilbenceno,42.6,Hidrocarburos totales,307.67,Metano,291.98,Hidrocarburos no metánicos,15.76
Barajas,Dióxido de Azufre,0,Monóxido de Carbono,0,Monóxido de Nitrógeno,3002.0,Dióxido de Nitrógeno,8076.0,Óxidos de Nitrógeno ,12677.0,Partículas < 2.5 µm,0,Partículas < 10 µm,0,Ozono,14392.0,Tolueno,0,Benceno,0,Etilbenceno,0,Hidrocarburos totales,0,Metano,0,Hidrocarburos no metánicos,0
Pza. del Carmen,Dióxido de Azufre,3051.0,Monóxido de Carbono,97.9,Monóxido de Nitrógeno,4068.0,Dióxido de Nitrógeno,8304.0,Óxidos de Nitrógeno ,14542.0,Partículas < 2.5 µm,0,Partículas < 10 µm,0,Ozono,11870.0,Tolueno,0,Benceno,0,Etilbenceno,0,Hidrocarburos totales,0,Metano,0,Hidrocarburos no metánicos,0
Moratalaz,Dióxido de Azufre,2368.0,Monóxido de Carbono,76.4,Monóxido de Nitrógeno,3572.0,Dióxido de Nitrógeno,8521.0,Óxidos de Nitrógeno ,13995.0,Partículas < 2.5 µm,0,Partículas < 10 µm,5059.0,Ozono,0,Tolueno,0,Benceno,0,Etilbenceno,0,Hidrocarburos totales,0,Metano,0,Hidrocarburos no metánicos,0
Cuatro Caminos,Dióxido de Azufre,2304.0,Monóxido de Carbono,0,Monóxido de Nitrógeno,4235.0,Dióxido de Nitrógeno,8510.0,Óxidos de Nitrógeno ,14986.0,Partículas < 2.5 µm,2230.0,Partículas < 10 µm,4611.0,Ozono,0,Tolueno,423.4,Benceno,107.8,Etilbenceno,315.2,Hidrocarburos totales,0,Metano,0,Hidrocarburos no metánicos,0
Barrio del Pilar,Dióxido de Azufre,0,Monóxido de Carbono,77.0,Monóxido de Nitrógeno,4605.0,Dióxido de Nitrógeno,8492.0,Óxidos de Nitrógeno ,15536.0,Partículas < 2.5 µm,0,Partículas < 10 µm,0,Ozono,14484.0,Tolueno,0,Benceno,0,Etilbenceno,0,Hidrocarburos totales,0,Metano,0,Hidrocarburos no metánicos,0
Vallecas,Dióxido de Azufre,2307.0,Monóxido de Carbono,0,Monóxido de Nitrógeno,3012.0,Dióxido de Nitrógeno,8459.0,Óxidos de Nitrógeno ,13080.0,Partículas < 2.5 µm,0,Partículas < 10 µm,4313.0,Ozono,0,Tolueno,0,Benceno,0,Etilbenceno,0,Hidrocarburos totales,0,Metano,0,Hidrocarburos no metánicos,0
Méndez Álvaro,Dióxido de Azufre,0,Monóxido de Carbono,0,Monóxido de Nitrógeno,3387.0,Dióxido de Nitrógeno,7637.0,Óxidos de Nitrógeno ,12838.0,Partículas < 2.5 µm,2202.0,Partículas < 10 µm,4238.0,Ozono,0,Tolueno,0,Benceno,0,Etilbenceno,0,Hidrocarburos totales,0,Metano,0,Hidrocarburos no metánicos,0
Pº. Castellana,Dióxido de Azufre,0,Monóxido de Carbono,0,Monóxido de Nitrógeno,2411.0,Dióxido de Nitrógeno,7912.0,Óxidos de Nitrógeno ,11604.0,Partículas < 2.5 µm,2305.0,Partículas < 10 µm,4618.0,Ozono,0,Tolueno,0,Benceno,0,Etilbenceno,0,Hidrocarburos totales,0,Metano,0,Hidrocarburos no metánicos,0
Retiro,Dióxido de Azufre,0,Monóxido de Carbono,0,Monóxido de Nitrógeno,1775.0,Dióxido de Nitrógeno,5781.0,Óxidos de Nitrógeno ,8517.0,Partículas < 2.5 µm,0,Partículas < 10 µm,0,Ozono,14941.0,Tolueno,0,Benceno,0,Etilbenceno,0,Hidrocarburos totales,0,Metano,0,Hidrocarburos no metánicos,0
Pza. Castilla,Dióxido de Azufre,0,Monóxido de Carbono,0,Monóxido de Nitrógeno,3670.0,Dióxido de Nitrógeno,8840.0,Óxidos de Nitrógeno ,14454.0,Partículas < 2.5 µm,2261.0,Partículas < 10 µm,4830.0,Ozono,0,Tolueno,0,Benceno,0,Etilbenceno,0,Hidrocarburos totales,0,Metano,0,Hidrocarburos no metánicos,0
Ensanche Vallecas,Dióxido de Azufre,0,Monóxido de Carbono,0,Monóxido de Nitrógeno,3466.0,Dióxido de Nitrógeno,8548.0,Óxidos de Nitrógeno ,13872.0,Partículas < 2.5 µm,0,Partículas < 10 µm,0,Ozono,14059.0,Tolueno,0,Benceno,0,Etilbenceno,0,Hidrocarburos totales,0,Metano,0,Hidrocarburos no metánicos,0
Urb. Embajada (Barajas),Dióxido de Azufre,0,Monóxido de Carbono,0,Monóxido de Nitrógeno,4152.0,Dióxido de Nitrógeno,9275.0,Óxidos de Nitrógeno ,15638.0,Partículas < 2.5 µm,0,Partículas < 10 µm,5381.0,Ozono,0,Tolueno,318.2,Benceno,83.2,Etilbenceno,61.4,Hidrocarburos totales,353.5,Metano,323.21,Hidrocarburos no metánicos,30.46
Plaza Elíptica,Dióxido de Azufre,0,Monóxido de Carbono,76.3,Monóxido de Nitrógeno,9535.0,Dióxido de Nitrógeno,13286.0,Óxidos de Nitrógeno ,27888.0,Partículas < 2.5 µm,2859.0,Partículas < 10 µm,5174.0,Ozono,12441.0,Tolueno,0,Benceno,0,Etilbenceno,0,Hidrocarburos totales,0,Metano,0,Hidrocarburos no metánicos,0
Sanchinarro,Dióxido de Azufre,2325.0,Monóxido de Carbono,66.4,Monóxido de Nitrógeno,2561.0,Dióxido de Nitrógeno,7325.0,Óxidos de Nitrógeno ,11251.0,Partículas < 2.5 µm,0,Partículas < 10 µm,3689.0,Ozono,0,Tolueno,0,Benceno,0,Etilbenceno,0,Hidrocarburos totales,0,Metano,0,Hidrocarburos no metánicos,0
El Pardo,Dióxido de Azufre,0,Monóxido de Carbono,0,Monóxido de Nitrógeno,905.0,Dióxido de Nitrógeno,3702.0,Óxidos de Nitrógeno ,5098.0,Partículas < 2.5 µm,0,Partículas < 10 µm,0,Ozono,16015.0,Tolueno,0,Benceno,0,Etilbenceno,0,Hidrocarburos totales,0,Metano,0,Hidrocarburos no metánicos,0
Parque Juan Carlos I,Dióxido de Azufre,0,Monóxido de Carbono,0,Monóxido de Nitrógeno,1803.0,Dióxido de Nitrógeno,5541.0,Óxidos de Nitrógeno ,8298.0,Partículas < 2.5 µm,0,Partículas < 10 µm,0,Ozono,14401.0,Tolueno,0,Benceno,0,Etilbenceno,0,Hidrocarburos totales,0,Metano,0,Hidrocarburos no metánicos,0
Tres Olivos,Dióxido de Azufre,0,Monóxido de Carbono,0,Monóxido de Nitrógeno,2317.0,Dióxido de Nitrógeno,6112.0,Óxidos de Nitrógeno ,9656.0,Partículas < 2.5 µm,0,Partículas < 10 µm,3708.0,Ozono,16864.0,Tolueno,0,Benceno,0,Etilbenceno,0,Hidrocarburos totales,0,Metano,0,Hidrocarburos no metánicos,0
