Estación,Dióxido de Azufre,Monóxido de Carbono,Monóxido de Nitrógeno,Dióxido de Nitrógeno,Partículas < 2.5 µm,Partículas < 10 µm,Óxidos de Nitrógeno,Ozono,Tolueno,Benceno,Etilbenceno,Metaxileno,Paraxileno,Ortoxileno,Hidrocarburos totales (Hexano),Metano,Hidrocarburos no metánicos (hexano)
Pza. de España,2016.0,104.99999999999984,6373.0,10392.0,---,---,20147.0,---,---,---,---,---,---,---,---,---,---
Escuelas Aguirre,2098.0,46.700000000000145,4819.0,12109.0,2595.0,5230.0,19486.0,12049.0,632.9000000000001,146.8000000000002,113.50000000000009,---,---,---,375.07000000000016,352.2100000000001,23.12
Avda. Ramón y Cajal,---,---,3417.0,9288.0,---,---,14549.0,---,396.3999999999997,92.00000000000001,69.30000000000014,---,---,---,---,---,---
Arturo Soria,---,71.00000000000024,2647.0,8131.0,---,---,12195.0,9343.0,---,---,---,---,---,---,---,---,---
Villaverde,2017.0,---,7030.0,9433.0,---,---,20215.0,13818.0,---,---,---,---,---,---,---,---,---
Farolillo,2811.0,116.79999999999973,3370.0,7724.0,---,3727.0,12894.0,15462.0,394.8,83.29999999999991,68.1000000000002,---,---,---,---,---,---
Casa de Campo,1103.0,51.00000000000023,1427.0,4843.0,2331.0,3252.0,7030.0,16209.0,278.5,78.89999999999995,42.600000000000215,---,---,---,307.67000000000013,291.9799999999999,15.76000000000001
Barajas Pueblo,---,---,3002.0,8076.0,---,---,12677.0,14392.0,---,---,---,---,---,---,---,---,---
Pza. del Carmen,3051.0,97.90000000000015,4068.0,8304.0,---,---,14542.0,11870.0,---,---,---,---,---,---,---,---,---
Moratalaz,2368.0,76.4000000000002,3572.0,8521.0,---,5059.0,13995.0,---,---,---,---,---,---,---,---,---,---
Cuatro Caminos,2304.0,---,4235.0,8510.0,2230.0,4611.0,14986.0,---,423.39999999999975,107.80000000000003,315.20000000000016,---,---,---,---,---,---
Barrio del Pilar,---,77.00000000000016,4605.0,8492.0,---,---,15536.0,14484.0,---,---,---,---,---,---,---,---,---
Vallecas,2307.0,---,3012.0,8459.0,---,4313.0,13080.0,---,---,---,---,---,---,---,---,---,---
Mendez Alvaro,---,---,3387.0,7637.0,2202.0,4238.0,12838.0,---,---,---,---,---,---,---,---,---,---
Castellana,---,---,2411.0,7912.0,2305.0,4618.0,11604.0,---,---,---,---,---,---,---,---,---,---
Parque del Retiro,---,---,1775.0,5781.0,---,---,8517.0,14941.0,---,---,---,---,---,---,---,---,---
Plaza Castilla,---,---,3670.0,8840.0,2261.0,4830.0,14454.0,---,---,---,---,---,---,---,---,---,---
Ensanche de Vallecas,---,---,3466.0,8548.0,---,---,13872.0,14059.0,---,---,---,---,---,---,---,---,---
Urb. Embajada,---,---,4152.0,9275.0,---,5381.0,15638.0,---,318.20000000000005,83.20000000000005,61.40000000000006,---,---,---,353.50000000000006,323.2100000000003,30.459999999999972
Pza. Elíptica,---,76.30000000000008,9535.0,13286.0,2859.0,5174.0,27888.0,12441.0,---,---,---,---,---,---,---,---,---
Sanchinarro,2325.0,66.40000000000016,2561.0,7325.0,---,3689.0,11251.0,---,---,---,---,---,---,---,---,---,---
El Pardo,---,---,905.0,3702.0,---,---,5098.0,16015.0,---,---,---,---,---,---,---,---,---
Juan Carlos I,---,---,1803.0,5541.0,---,---,8298.0,14401.0,---,---,---,---,---,---,---,---,---
Tres Olivos,---,---,2317.0,6112.0,---,3708.0,9656.0,16864.0,---,---,---,---,---,---,---,---,---
